No Action Taken,214458
Unknown,8446
Reprimand,5280
1 Day Suspension,4222
2 Day Suspension,1701
3 Day Suspension,1410
5 Day Suspension,1256
Sustained-No Penalty,1133
Penalty Not Served,926
Resigned -Not Served,900
Violation Noted,827
Resigned,644
10 Day Suspension,562
Separation,502
30 Day Suspension,413
15 Day Suspension,349
Suspended Over 30 Days,271
20 Day Suspension,211
4 Day Suspension,182
Reinstated By Police Board,139
Administrative Termination,132
7 Day Suspension,105
25 Day Suspension,69
6 Day Suspension,49
8 Day Suspension,34
45 Day Suspension,31
60 Day Suspension,23
Reinstated By Court Action,21
12 Day Suspension,21
Suspended Indefinitely,21
365 Day Suspension,18
99 Day Suspension,9
90 Day Suspension,9
28 Day Suspension,9
16 Day Suspension,7
Suspended For 180 Days,6
11 Day Suspension,5
14 Day Suspension,5
120 Day Suspension,5
40 Day Suspension,4
150 Day Suspension,4
Separated Other Case,4
13 Day Suspension,3
29 Day Suspension,3
21 Day Suspension,3
35 Day Suspension,3
17 Day Suspension,3
9 Day Suspension,2
270 Day Suspension,2
18 Day Suspension,2
23 Day Suspension,2
180 Day Suspension,1
900 Day Suspension,1
75 Day Suspension,1
540 Day Suspension,1
326 Day Suspension,1
31 Day Suspension,1
22 Day Suspension,1
27 Day Suspension,1
24 Day Suspension,1
